U+23AF \hlineextender
U+2113 \ell
U+292C \fdiagovrdiag
U+D699 \ttp
U+02A1 \textbarglotstop
U+2086 \subsix
U+224F \bumpeq
U+D5E4 \bfsansQ
U+D7E9 \sansseven
U+25CA \mdlgwhtlozenge
U+2685 \dicevi
U+2506 \bdtriplevdash
U+22F5 \isindot
U+2319 \turnednot
U+21E0 \leftdasharrowhead
U+02A3 \textdzlig
U+2785 \circledsanssix
U+D7B8 \bfitsansomicron
U+005D \rbrack
U+02D8 \textbreve
U+02BC \rasp
U+2AAA \smt
U+29E7 \thermod
U+2A04 \biguplus
U+25E9 \squareulblack
U+D573 \bffrakH
U+D76E \bfsansOmega
U+25E0 \topsemicircle
U+2680 \dicei
U+27D7 \fullouterjoin
U+2035 \textbackprime
U+21D5 \Updownarrow
U+2902 \nvLeftarrow
U+212D \frakC
U+2308 \lceil
U+D428 \bfo
U+D4E2 \bfscrS
U+D54E \BbbW
U+29AC \measangleurtone
U+D7F0 \bfsansfour
U+22C1 \bigvee
U+222D \iiint
U+23B3 \sumbottom
U+29C3 \cirE
U+21A8 \updownarrowbar
U+03A3 \upSigma
U+2AB5 \precneqq
U+D537 \frakz
U+D60F \itsansH
U+2370 \APLboxquestion
U+D4BA \scre
U+2561 \bdbvlH
U+D79C \bfitsansNu
U+2A35 \otimesrhrim
U+0308 \ddot
U+D657 \bfitsansb
U+27C4 \supsetcirc
U+D56E \bffrakC
U+278B \blackcircledsanstwo
U+0323 \textsubdot
U+2025 \enleadertwodots
U+24CD \circledX
U+D63A \itsansy
U+21DA \Lleftarrow
U+215D \fracfiveeighths
U+D569 \Bbbx
U+2AA7 \gtcc
U+D781 \bfsansvarsigma
U+25D0 \circlelefthalfblack
U+2234 \therefore
U+2984 \rBrace
U+23E0 \obrbrak
U+2644 \saturn
U+D6A4 \imath
U+22A2 \vdash
U+0060 \textasciigrave
U+22C6 \star
U+1D8D \textlhookx
U+D4BF \scrj
U+24BF \circledJ
U+2018 \lq
U+2534 \bduvbh
U+D761 \bfsansMu
U+21D9 \Swarrow
U+D62D \itsansl
U+D518 \frakU
U+21F6 \rightthreearrows
U+D5C9 \sansp
U+2241 \nsim
U+23E1 \ubrbrak
U+27E2 \concavediamondtickleft
U+03BB \textlambda
U+25E3 \llblacktriangle
U+21CC \rightleftharpoons
U+D41B \bfb
U+2606 \bigwhitestar
U+221E \infty
U+21E2 \rightdasharrowhead
U+D507 \frakD
U+D4A4 \scrI
U+2004 \thirdemspace
U+D7C6 \bfitsansvarkappa
U+03E1 \upsampi
U+2259 \wedgeq
U+032B \textsubw
U+2AD6 \supsup
U+D744 \bfitomicron
U+24C8 \circledS
U+02B6 \textsupinvscr
U+229B \circledast
U+D646 \bfitsansK
U+25CF \mdlgblkcircle
U+D459 \itl
U+02BB \textturncomma
U+2A44 \capwedge
U+D77A \bfsanslambda
U+029B \texthtscg
U+2A89 \lnapprox
U+2127 \mho
U+0110 \textcrD
U+291E \rightarrowdiamond
U+02D0 \textlengthmark
U+2783 \circledsansfour
U+D6FD \itbeta
U+229A \circledcirc
U+201E \quotdblbase
U+D6BF \bfPsi
U+27ED \Rbrbrak
U+2257 \circeq
U+03F4 \upvarTheta
U+03DE \upKoppa
U+D4F7 \bfscrn
U+D56C \bffrakA
U+D7D7 \bfnine
U+D470 \bfitI
U+2A86 \gtrapprox
U+0293 \textctyogh
U+2A3F \amalg
U+D66A \bfitsansu
U+014A \NG
U+D68D \ttd
U+25F9 \urtriangle
U+2A0A \modtwosum
U+2204 \nexists
U+21BE \upharpoonright
U+D601 \bfsanst
U+2560 \bdbVrH
U+201F \quotdblright
U+2276 \lessgtr
U+22DE \curlyeqprec
U+22D9 \ggg
U+25CD \circlevertfill
U+2A29 \commaminus
U+2A69 \equivVvert
U+02E1 \ipasupl
U+2A50 \closedvarcupsmashprod
U+2A66 \eqdot
U+2208 \varin
U+2788 \circledsansnine
U+29F3 \errbarblackcircle
U+2190 \leftarrow
U+22E0 \npreccurlyeq
U+3030 \hzigzag
U+D74E \bfitomega
U+03B1 \upalpha
U+D66F \bfitsansz
U+D6D7 \bfvarphi
U+00DE \TH
U+2465 \circledsix
U+2593 \blockthreeqtrshaded
U+2951 \updownharpoonleftleft
U+02DC \textsmalltilde
U+293A \acwoverarcarrow
U+2B22 \varhexagonblack
U+2A1F \zcmp
U+2A79 \ltcir
U+D479 \bfitR
U+25DF \llarc
U+D62C \itsansk
U+01BE \textcrinvglotstop
U+D630 \itsanso
U+D705 \itkappa
U+25D9 \inversewhitecircle
U+29EA \blackdiamonddownarrow
U+2274 \nlesssim
U+2336 \topbot
U+24BE \circledI
U+03C7 \textchi
U+25ED \triangleleftblack
U+D627 \itsansf
U+230C \drcrop
U+201A \quotsinglbase
U+0394 \upDelta
U+03A4 \upTau
U+22EF \cdots
U+03A5 \upUpsilon
U+D7D6 \bfeight
U+213D \Bbbgamma
U+2565 \bddVbh
U+D4EB \bfscrb
U+00D0 \DH
U+D774 \bfsansvarepsilon
U+00F8 \o
U+21D3 \Downarrowhead
U+D544 \BbbM
U+2999 \fourvdots
U+0298 \textbullseye
U+2959 \downharpoonleftbar
U+02D6 \textadvanced
U+D7AC \bfitsansgamma
U+2A07 \conjquant
U+2A59 \veeonwedge
U+2A10 \cirfnint
U+25C5 \whitepointerleft
U+D6B0 \bfIota
U+D663 \bfitsansn
U+2922 \neswarrow
U+2ABD \subsetdot
U+D743 \bfitxi
U+21A2 \leftarrowtail
U+D6A9 \bfBeta
U+29EB \blacklozenge
U+2044 \fracslash
U+D57D \bffrakR
U+D54C \BbbU
U+2321 \intbottom
U+D542 \BbbK
U+FE35 \overparen
U+29C7 \boxcircle
U+26A5 \Hermaphrodite
U+2971 \equalrightarrow
U+22E8 \precnsim
U+D642 \bfitsansG
U+2394 \hexagon
U+222C \iint
U+25A3 \blackinwhitesquare
U+256B \bdbVbh
U+301E \cjkdprimequote
U+23A8 \lbracemid
U+D486 \bfite
U+0299 \textscb
U+25AE \vrectangleblack
U+D74F \bfitpartial
U+0337 \textoverlayshortsolidus
U+D72C \bfitRho
U+297B \suplarr
U+019A \textbarl
U+D791 \bfitsansBeta
U+039F \upOmicron
U+2A58 \bigslopedwedge
U+2AB6 \succneqq
U+D799 \bfitsansKappa
U+2901 \nVtwoheadrightarrow
U+21B5 \carriagereturn
U+D4F9 \bfscrp
U+01BB \textcrtwo
U+2107 \Eulerconst
U+211D \BbbR
U+2910 \drbkarow
U+00BF \textquestiondown
U+2A90 \gsiml
U+D708 \itnu
U+2063 \invisiblesep
U+D5C1 \sansh
U+2193 \shortdownarrow
U+D41C \bfc
U+200F \RtoLmark
U+03D6 \upvarpi
U+20E4 \enclosetriangle
U+D7A3 \bfitsansTau
U+0322 \textrhook
U+00AF \textasciimacron
U+D7F1 \bfsansfive
U+2468 \circlednine
U+24D6 \circledg
U+2228 \vee
U+2A08 \disjquant
U+207E \suprparen
U+2317 \viewdata
U+2702 \scissors
U+24E5 \circledv
U+D55F \Bbbn
U+29FC \lcurvyangle
U+2919 \lefttail
U+D423 \bfj
U+2736 \varstar
U+025C \textrevepsilon
U+D725 \bfitKappa
U+D786 \bfsanschi
U+2972 \similarrightarrow
U+21CB \leftrightharpoons
U+2966 \leftrightharpoonsup
U+21AD \leftrightwavyarrow
U+2012 \figdash
U+2930 \rdiagovsearrow
U+D6AC \bfEpsilon
U+D4D9 \bfscrJ
U+D5EE \bfsansa
U+2131 \scrF
U+21C5 \updownarrows
U+D6A3 \ttz
U+2251 \Doteq
U+225A \veeeq
U+02D1 \texthalflength
U+0295 \textrevglotstop
U+221B \cuberoot
U+29CA \triangleodot
U+2A4E \Sqcap
U+29C8 \boxbox
U+0314 \orough
U+25A4 \squarehfill
U+00E5 \aa
U+2557 \bddVlH
U+02AE \textlongy
U+D5F1 \bfsansd
U+2A02 \bigotimes
U+D4B8 \scrc
U+211E \textrecipe
U+D735 \bfitnabla
U+2467 \circledeight
U+2238 \dotminus
U+00B7 \textperiodcentered
U+D47B \bfitT
U+D5EC \bfsansY
U+263B \blacksmiley
U+27C8 \bsolhsub
U+25FB \mdwhtsquare
U+2AB2 \succneq
U+D67A \ttK
U+29AA \measanglerdtose
U+D7E4 \sanstwo
U+2792 \blackcircledsansnine
U+21CE \nLeftrightarrow
U+02BA \cdprime
U+29D2 \rfbowtie
U+D42C \bfs
U+2A40 \capdot
U+D74A \bfitupsilon
U+D6D1 \bfpi
U+D7F6 \ttzero
U+2195 \updownarrow
U+D610 \itsansI
U+29DF \dualmap
U+294F \updownharpoonrightright
U+03C1 \uprho
U+01AB \textlhookt
U+0131 \imath
U+D57C \bffrakQ
U+29EC \circledownarrow
U+2ADE \shortlefttack
U+2A00 \bigodot
U+22B2 \vartriangleleft
U+21B9 \barleftarrowrightarrowbar
U+2220 \angle
U+295D \bardownharpoonright
U+227A \prec
U+2088 \subeight
U+22BB \veebar
U+2A95 \eqslantless
U+22BF \varlrtriangle
U+0280 \textscr
U+D51B \frakX
U+D5F8 \bfsansk
U+02D9 \textdotaccent
U+2709 \envelope
U+D52E \frakq
U+225C \triangleq
U+2720 \maltese
U+D7C3 \bfitsanspartial
U+D602 \bfsansu
U+24EA \circledzero
U+21FA \nVleftarrow
U+2B17 \diamondrightblack
U+24D5 \circledf
U+29BC \odotslashdot
U+D67D \ttN
U+292B \rdiagovfdiag
U+20D6 \wideoverleftarrow
U+299B \measuredangleleft
U+D609 \itsansB
U+D7B7 \bfitsansxi
